tag,git,seed,step,train_loss,val_psnr,val_ssim,params_M,batch,crop,lr,iters,elapsed_min
throughput_probe,caf4c07-dirty,1337,200,0.062316,22.8865,0.5261,4.019,64,64,0.0002,200,2.63
final,caf4c07-dirty,1337,1000,0.038928,24.544,0.5819,4.019,64,64,0.0002,15000,7.18
final,caf4c07-dirty,1337,2000,0.039899,26.2598,0.663,4.019,64,64,0.0002,15000,13.48
final,caf4c07-dirty,1337,3000,0.037806,27.3359,0.7299,4.019,64,64,0.0002,15000,19.94
final,caf4c07-dirty,1337,4000,0.03377,27.515,0.743,4.019,64,64,0.0002,15000,25.97
final,caf4c07-dirty,1337,5000,0.033659,27.3137,0.737,4.019,64,64,0.0002,15000,31.96
final,caf4c07-dirty,1337,6000,0.030116,27.0902,0.7284,4.019,64,64,0.0002,15000,38.15
final,caf4c07-dirty,1337,7000,0.027429,26.9022,0.7206,4.019,64,64,0.0002,15000,44.74
final,caf4c07-dirty,1337,8000,0.031699,26.7345,0.7137,4.019,64,64,0.0002,15000,51.27
final,caf4c07-dirty,1337,9000,0.027796,26.5777,0.7073,4.019,64,64,0.0002,15000,57.18
