id,psnr,ssim,frac_out_of_range,lpips
000006.npy,28.206138610839844,0.6558589935302734,0.0,0.3288450539112091
000019.npy,23.314817428588867,0.8060579299926758,0.0,0.12941567599773407
000067.npy,25.944828033447266,0.704771876335144,0.0,0.27382808923721313
000069.npy,32.12744903564453,0.9097808599472046,0.0,0.10533127188682556
000071.npy,32.325164794921875,0.9166428446769714,0.0,0.0979895368218422
000072.npy,25.052125930786133,0.7228178381919861,0.0,0.23174098134040833
000088.npy,35.17787170410156,0.9310017824172974,0.0,0.14727048575878143
000123.npy,29.533668518066406,0.8993053436279297,0.0,0.13049562275409698
000152.npy,22.572423934936523,0.5772622227668762,0.0,0.3895869851112366
000176.npy,23.909711837768555,0.6609253883361816,0.0,0.31642043590545654
000180.npy,35.53043746948242,0.9353238940238953,0.0,0.17087511718273163
000198.npy,26.854629516601562,0.7399569153785706,0.0,0.24911284446716309
000199.npy,26.197101593017578,0.7147005200386047,0.0,0.2695809304714203
000219.npy,30.980051040649414,0.8477469086647034,0.0,0.12354690581560135
000243.npy,35.295413970947266,0.9533810019493103,0.0,0.0850558876991272
000253.npy,28.7779541015625,0.8371054530143738,0.0,0.24543295800685883
000259.npy,20.780418395996094,0.7281839847564697,0.0,0.22291406989097595
000263.npy,27.552492141723633,0.7916004061698914,0.0,0.17360156774520874
000284.npy,22.4393310546875,0.6501440405845642,0.0,0.32414963841438293
000348.npy,28.221721649169922,0.8418641090393066,0.0,0.20681177079677582
000366.npy,28.179237365722656,0.8226416707038879,0.0,0.20503544807434082
000367.npy,28.31139373779297,0.8282948732376099,0.0,0.2029515653848648
000380.npy,27.737010955810547,0.8558986783027649,0.0,0.2024139016866684
000381.npy,25.791973114013672,0.4469470679759979,0.0,0.7815456390380859
000410.npy,33.519378662109375,0.8446466326713562,0.0,0.26906058192253113
000421.npy,29.567626953125,0.6614024043083191,0.0,0.36685022711753845
000432.npy,29.738807678222656,0.8357622623443604,0.0,0.2004009485244751
000437.npy,31.352455139160156,0.8757653832435608,0.0,0.17722217738628387
000440.npy,27.209081649780273,0.7326012253761292,0.0,0.30795082449913025
000447.npy,29.325408935546875,0.7932859063148499,0.0,0.31326985359191895
000473.npy,30.88294219970703,0.8860078454017639,0.0,0.20582926273345947
000497.npy,23.786029815673828,0.6447155475616455,0.0,0.31942635774612427
000501.npy,25.06203842163086,0.6082834601402283,0.0,0.27078086137771606
000508.npy,31.8233699798584,0.9394994378089905,0.0,0.16951270401477814
000538.npy,33.02638244628906,0.9059779047966003,0.0,0.1624073088169098
000554.npy,31.077789306640625,0.8524788618087769,0.0,0.2155366837978363
000557.npy,36.51512145996094,0.9420290589332581,0.0,0.06169319525361061
000559.npy,35.58803939819336,0.939437210559845,0.0,0.07261303067207336
000579.npy,23.452613830566406,0.6973975896835327,0.0,0.371006578207016
000583.npy,28.930614471435547,0.8774640560150146,0.0,0.0946715921163559
000618.npy,26.723976135253906,0.637452244758606,0.0,0.3412918746471405
000634.npy,30.438663482666016,0.8624681830406189,0.0,0.2499236762523651
000655.npy,26.740222930908203,0.7680382132530212,0.0,0.17774875462055206
000683.npy,28.049663543701172,0.882594645023346,0.0,0.13556666672229767
000687.npy,28.37548065185547,0.7853990197181702,0.0,0.241805762052536
000690.npy,25.09800148010254,0.8281424045562744,0.0,0.13502413034439087
000706.npy,20.649627685546875,0.24161475896835327,0.0,0.8136453628540039
000717.npy,20.496337890625,0.727348268032074,0.0,0.20634901523590088
000719.npy,20.272125244140625,0.7195777297019958,0.0,0.2137165069580078
000722.npy,26.239927291870117,0.8795068264007568,0.0,0.09872762113809586
000780.npy,20.788475036621094,0.670558750629425,0.0,0.32695263624191284
000783.npy,30.088529586791992,0.752311646938324,0.0,0.4895128905773163
000791.npy,36.03786849975586,0.9362470507621765,0.0,0.14359889924526215
000800.npy,23.98137092590332,0.3053927421569824,0.0,0.6918711066246033
000834.npy,23.39501190185547,0.7830035090446472,0.0,0.26619598269462585
000853.npy,21.928604125976562,0.5854490995407104,0.0,0.4212278127670288
000871.npy,23.157901763916016,0.3024621903896332,0.0,0.6542820930480957
000875.npy,26.29159927368164,0.6763840317726135,0.0,0.3215824365615845
000887.npy,29.6192569732666,0.8751481771469116,0.0,0.12603098154067993
000902.npy,26.32894515991211,0.789769172668457,0.0,0.15943562984466553
000906.npy,33.09839630126953,0.7432961463928223,0.0,0.3523986041545868
000920.npy,27.060562133789062,0.8226125836372375,0.0,0.17979156970977783
000925.npy,30.480358123779297,0.6753283143043518,0.0,0.403708279132843
000945.npy,32.27253341674805,0.9310684204101562,0.0,0.1020452156662941
000951.npy,33.78205108642578,0.8984803557395935,0.0,0.1370897889137268
000969.npy,23.941120147705078,0.5989338755607605,0.0,0.32377636432647705
000995.npy,32.20880889892578,0.6897777915000916,0.0,0.40502190589904785
000998.npy,29.64740753173828,0.8534560799598694,0.0,0.14586514234542847
000999.npy,30.07673454284668,0.8747566342353821,0.0,0.12913314998149872
001003.npy,26.394155502319336,0.5032188892364502,0.0,0.4651489853858948
001013.npy,29.862682342529297,0.9248102307319641,0.0,0.12499356269836426
001021.npy,25.030261993408203,0.678193986415863,0.0,0.24544116854667664
